id,n_victimas,tipo_de_calle,comuna,longitud,latitud,participantes,victima,acusado,direccion_normalizada,rol,sexo,edad,fecha_hora,fecha_fallecimiento,categoria_edad,encrucijada
2021-0079,1,CALLE,3,-58.40944147,-34.60097942,PEATON-AUTO,PEATON,AUTO,TUCUMAN 3112,PEATON,MASCULINO,35,2021-10-25 03:30:00,2021-10-25,30-44,False
2021-0080,1,AVENIDA,1,-58.38277479,-34.5943016,MOTO-AUTO,MOTO,AUTO,ARENALES y 9 DE JULIO AV.,CONDUCTOR,MASCULINO,32,2021-10-28 16:16:00,2021-10-28,30-44,True
2021-0081,1,AUTOPISTA,4,-58.37627355,-34.63800916,MOTO-CARGAS,MOTO,CARGAS,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRANDSEN,CONDUCTOR,MASCULINO,26,2021-11-02 13:35:00,2021-11-02,18-29,False
2021-0082,1,AUTOPISTA,3,-58.39591856,-34.62453459,MOTO-AUTO,MOTO,AUTO,AUTOPISTA 25 DE MAYO y PASCO,CONDUCTOR,MASCULINO,38,2021-11-06 04:39:00,2021-11-06,30-44,False
2021-0083,1,AVENIDA,13,-58.45829717,-34.56015762,MOTO-AUTO,MOTO,AUTO,CABILDO AV. y OLAZABAL,CONDUCTOR,MASCULINO,30,2021-11-09 00:35:00,2021-11-09,30-44,True
2021-0084,1,AVENIDA,9,-58.49142611,-34.64584795,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,TAPALQUE y BRUIX AV.,CONDUCTOR,MASCULINO,32,2021-11-11 03:00:00,2021-11-11,30-44,True
2021-0085,1,GRAL PAZ,12,-58.51271409,-34.57786555,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,"PAZ, GRAL. AV. y EZEIZA",CONDUCTOR,MASCULINO,49,2021-11-20 18:30:00,2021-11-20,45-64,True
2021-0086,1,AVENIDA,6,-58.44864864,-34.62352826,PEATON-PASAJEROS,PEATON,PASAJEROS,RIVADAVIA AV. y PUAN,PEATON,MASCULINO,75,2021-11-25 10:10:00,2021-11-25,65+,True
2021-0087,1,CALLE,1,-58.37795815,-34.59167894,PEATON-BICICLETA,PEATON,BICICLETA,ESMERALDA 1359,PEATON,FEMENINO,73,2021-11-27 11:22:00,2021-11-27,65+,False
2021-0088,1,CALLE,13,-58.45531707,-34.55555257,MOTO-AUTO,MOTO,AUTO,MONROE y 3 DE FEBRERO,CONDUCTOR,MASCULINO,45,2021-12-01 15:40:00,2021-12-07,45-64,True
2021-0089,1,AVENIDA,11,-58.47633683,-34.62140594,MOTO-AUTO,MOTO,AUTO,GAONA AV. 3655,CONDUCTOR,MASCULINO,41,2021-12-02 01:10:00,2021-12-11,30-44,False
2021-0090,1,AVENIDA,1,-58.38188582,-34.60256036,PEATON-PASAJEROS,PEATON,PASAJEROS,9 DE JULIO AV. y LAVALLE,PEATON,MASCULINO,73,2021-12-10 11:45:00,2022-01-03,65+,True
2021-0091,1,CALLE,10,-58.51989389,-34.62284918,MOTO-AUTO,MOTO,AUTO,"BAIGORRIA y HUGO, VICTOR",CONDUCTOR,MASCULINO,24,2021-12-11 23:00:00,2021-12-11,18-29,True
2021-0092,1,AVENIDA,3,-58.4059686,-34.61011987,PEATON-AUTO,PEATON,AUTO,RIVADAVIA AV. y PUEYRREDON AV.,PEATON,FEMENINO,50,2021-12-12 06:20:00,2021-12-12,45-64,True
2021-0093,1,AVENIDA,7,-58.43353773,-34.64561636,MOTO-AUTO,MOTO,AUTO,RIESTRA AV. y MOM,PASAJERO_ACOMPAÑANTE,FEMENINO,18,2021-12-13 17:10:00,2021-12-18,18-29,True
2021-0094,1,AUTOPISTA,9,-58.46739825,-34.65117757,MOTO-AUTO,MOTO,AUTO,"DELLEPIANE, LUIS, TTE. GRAL. y LACARRA AV.",PASAJERO_ACOMPAÑANTE,FEMENINO,43,2021-12-20 01:10:00,2021-12-20,30-44,True
2021-0095,1,AVENIDA,11,-58.47293407,-34.61984745,MOTO-CARGAS,MOTO,CARGAS,GAONA AV. y TERRADA,CONDUCTOR,MASCULINO,27,2021-12-30 00:43:00,2022-01-02,18-29,True
2021-0096,1,AVENIDA,9,-58.47066794,-34.65021673,AUTO-CARGAS,AUTO,CARGAS,"PERON, EVA AV. 4071",CONDUCTOR,MASCULINO,60,2021-12-15 10:30:00,2021-12-20,45-64,False
2021-0097,1,CALLE,1,-58.37976155,-34.58679619,BICICLETA-AUTO,BICICLETA,AUTO,PADRE CARLOS MUGICA 709,CICLISTA,MASCULINO,53,2021-11-18 06:10:00,2021-11-19,45-64,False
